pid,item_name,vendor_name,product_line,product_topCategory,instock_num,in_stock,out_of_stock,cost_price,item_url,url
3471168,Skyfall Aviator Jacket ,Blanc Noir,JACKET,Women,6,"XS,S,M,L",XL,159,https://www.bloomingdales.com/shop/product/blanc-noir-skyfall-aviator-jacket?ID=3471168,"https://images.bloomingdalesassets.com/is/image/BLM/products/3/optimized/11335153_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4110816,Explorer Jumpsuit,Sweaty Betty,JUMPSUIT_ROMPERS,Women,6,"XXS,XS,S,M,L,XL,XXL",,148,https://www.bloomingdales.com/shop/product/sweaty-betty-explorer-jumpsuit?ID=4110816,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11671108_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3844154,Netz Face Mask,KORAL,FACE_MASKS,Women,6,,,20,https://www.bloomingdales.com/shop/product/koral-netz-face-mask?ID=3844154,"https://images.bloomingdalesassets.com/is/image/BLM/products/3/optimized/11180243_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3609394,Stadium Quarter-Zip Hooded Sweatshirt ,Alo Yoga,SWEATSHIRTS,Women,6,"XS,S","M,L",108,https://www.bloomingdales.com/shop/product/alo-yoga-stadium-quarter-zip-hooded-sweatshirt?ID=3609394,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/11241260_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4102920,Vapor High-Rise Camo Ankle Leggings,Alo Yoga,PANTS,Women,6,"XS,S,M,L",,128,https://www.bloomingdales.com/shop/product/alo-yoga-vapor-high-rise-camo-ankle-leggings?ID=4102920,"https://images.bloomingdalesassets.com/is/image/BLM/products/7/optimized/11485227_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3703112,Tall Band Cheetah Print Leggings,Terez,PANTS,Women,6,XS,"S,M,L,XL",100,https://www.bloomingdales.com/shop/product/terez-tall-band-cheetah-print-leggings?ID=3703112,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/11140039_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3926103,Linear Tie Dye Sweatshirt - 100% Exclusive,AQUA,SWEATSHIRTS,Women,6,L,"XS,S,M",68,https://www.bloomingdales.com/shop/product/aqua-athletic-linear-tie-dye-sweatshirt-100-exclusive?ID=3926103,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/11326485_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3926097,Define Ribbed Jumpsuit - 100% Exclusive,AQUA,JUMPSUIT_ROMPERS,Women,6,XS,"S,M,L",78,https://www.bloomingdales.com/shop/product/aqua-athletic-define-ribbed-jumpsuit-100-exclusive?ID=3926097,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11326482_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3524279,Glimpse Long Sleeve Top,Alo Yoga,TOP,Women,6,XS,"S,M,L",68,https://www.bloomingdales.com/shop/product/alo-yoga-glimpse-long-sleeve-top?ID=3524279,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/11425919_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4043983,Peak Tank Top,Alo Yoga,TOP,Women,6,"XS,S,M,L",,48,https://www.bloomingdales.com/shop/product/alo-yoga-peak-tank-top?ID=4043983,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/11529421_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
